Автор;Название;Год;страницы;Издательство;;Тип;Регион;Ключевые;;направление;Полное название
Гарецкий Р.Г., Айзберг Р.Е., Фрадкин Г.С., Башарин А.К., Нагорный М.А.;ПАЛЕОРИФТЫ И НАДРИФТОВЫЕ СИНЕКЛИЗЫ ВОСТОЧНО-ЕВРОПЕЙСКОЙ И СИБИРСКОЙ ПЛАТФОРМ ;;;;;статья;;;;рифтогенез;Гарецкий Р.Г., Айзберг Р.Е., Фрадкин Г.С., Башарин А.К., Нагорный М.А. ПАЛЕОРИФТЫ И НАДРИФТОВЫЕ СИНЕКЛИЗЫ ВОСТОЧНО-ЕВРОПЕЙСКОЙ И СИБИРСКОЙ ПЛАТФОРМ  // Издательство, год?
;Рифтогенез в вопросах генезиса и нефтегазоносности Вилюйской синеклизы;;;;;статья;Восточная Сибирь;;;рифтогенез;Рифтогенез в вопросах генезиса и нефтегазоносности Вилюйской синеклизы // Автор, издательство, год?
Башарин А.К., Фрадкин Г.С.;Рифтогенез и тектоническая эволюция Лено-Вилюйского нефтегазоносного бассейна;;;;;статья;Восточная Сибирь;;;рифтогенез;Башарин А.К., Фрадкин Г.С. Рифтогенез и тектоническая эволюция Лено-Вилюйского нефтегазоносного бассейна // Издательство, год?
Фрадкин Г.С., Башарин А.К.,  Беляев С.Ю.;Эвапоритовые экраны нефтегазоносных резервуаров Сибирской  и Таримской платформ;;;ИГНГ СО РАН;;статья;Восточная Сибирь, Китай;;;нефтегазоносность;Фрадкин Г.С., Башарин А.К.,  Беляев С.Ю. Эвапоритовые экраны нефтегазоносных резервуаров Сибирской  и Таримской платформ // Издательство, год?
Фрадкин Г.С.;ГАЛОГЕННЫЕ ФОРМАЦИИ КАК КРИТЕРИЙ ОЦЕНКИ НЕФТЕГАЗОНОСНОСТИ ДРЕВНИХ РЕЗЕРВУАРОВ СИБИРСКОЙ ПЛАТФОРМЫ;;;ИГНГ СО РАН;;статья;Восточная Сибирь;девон;;нефтегазоносность, прогноз;Фрадкин Г.С. ГАЛОГЕННЫЕ ФОРМАЦИИ КАК КРИТЕРИЙ ОЦЕНКИ НЕФТЕГАЗОНОСНОСТИ ДРЕВНИХ РЕЗЕРВУАРОВ СИБИРСКОЙ ПЛАТФОРМЫ // Издательство, год?
Гайдук В.В., Сафронов А.Ф., Фрадкин Г.С. ;Подсолевые девонские отложения Кемпендяйской впадины –  новый перспективный  объект  нефтепоисков на востоке Сибирской платформы;;;;;статья;Восточная Сибирь;девон;;;Гайдук В.В., Сафронов А.Ф., Фрадкин Г.С. Подсолевые девонские отложения Кемпендяйской впадины –  новый перспективный  объект  нефтепоисков на востоке Сибирской платформы // Издательство, год?
Фрадкин Г.С., Сафронов А.Ф., Полосухин В.А.;Сунтаро  -  Кемпендяйские   дислокации  перспективный объект нефтегазопоисковых работ в Якутии;;;;;статья;Восточная Сибирь;;;;Фрадкин Г.С., Сафронов А.Ф., Полосухин В.А. Сунтаро  -  Кемпендяйские   дислокации  перспективный объект нефтегазопоисковых работ в Якутии // Издательство, год?
Конторович А.Э., Фрадкин Г.С., Сафронов А.Ф., Коржубаев А.Г., Моисеев С.А., Хоменко А.В.;Ресурсы нефти и газа Западной Якутии и реальные пути их широкомасштабного освоения ;;;Нефть России ;Нефть России ;статья;Восточная Сибирь;;;экономика;Конторович А.Э., Фрадкин Г.С., Сафронов А.Ф., Коржубаев А.Г., Моисеев С.А., Хоменко А.В. Ресурсы нефти и газа Западной Якутии и реальные пути их широкомасштабного освоения  //  Нефть России Год?
Фрадкин Г.С.,  Сафронов А.Ф., Ситников В.С., Моисеев С.А.,  Киселев В.П.;Нефтегазоносность и перспективы освоения углеводородных ресурсов Якутии;2002;;;Геология нефти и газа;статья;Восточная Сибирь;;;экономика, нефтегазоносность; Фрадкин Г.С.,  Сафронов А.Ф., Ситников В.С., Моисеев С.А.,  Киселев В.П. Нефтегазоносность и перспективы освоения углеводородных ресурсов Якутии // Геология нефти и газа, 2002
Конторович А.Э, Коржубаев А.Г., Фрадкин Г.С.;Нефтегазоносные комплексы и ресурсы углеводородов Республики Саха (Якутия);;;;;статья;Восточная Сибирь;;;экономика, нефтегазоносность;Конторович А.Э, Коржубаев А.Г., Фрадкин Г.С. Нефтегазоносные комплексы и ресурсы углеводородов Республики Саха (Якутия) // Издательство, год?
 Хераскова Т.Н.,  Каплан С.А.,  Галуев В.И.;СТРОЕНИЕ СИБИРСКОЙ ПЛАТФОРМЫ И ЕЕ ЗАПАДНОЙ ОКРАИНЫ В РИФЕЕ-РАННЕМ ПАЛЕОЗОЕ;2009;;;ГЕОТЕКТОНИКА;статья;Восточная Сибирь;рифей, палеозой;;стратиграфия, тектоника, геология; Хераскова Т.Н.,  Каплан С.А.,  Галуев В.И. СТРОЕНИЕ СИБИРСКОЙ ПЛАТФОРМЫ И ЕЕ ЗАПАДНОЙ ОКРАИНЫ В РИФЕЕ-РАННЕМ ПАЛЕОЗОЕ //  ГЕОТЕКТОНИКА, 2009, №2, с. 37-56
Шемин Г.Г., Первухина Н.В.;СТРОЕНИЕ И ПЕРСПЕКТИВЫ НЕФТЕГАЗОНОСНОСТИ С ВЫДЕЛЕНИЕМ КРУПНЫХ ОБЪЕКТОВ НЕФТЕПОИСКОВЫХ РАБОТ БАТСКОГО РЕГИОНАЛЬНОГО РЕЗЕРВУАРА СЕВЕРА ЗАПАДНО-СИБИРСКОЙ НЕФТЕГАЗОНОСНОЙ ПРОВИНЦИИ;;;;;статья;Западная Сибирь;;;геология, нефтегазоносность;Шемин Г.Г., Первухина Н.В. СТРОЕНИЕ И ПЕРСПЕКТИВЫ НЕФТЕГАЗОНОСНОСТИ С ВЫДЕЛЕНИЕМ КРУПНЫХ ОБЪЕКТОВ НЕФТЕПОИСКОВЫХ РАБОТ БАТСКОГО РЕГИОНАЛЬНОГО РЕЗЕРВУАРА СЕВЕРА ЗАПАДНО-СИБИРСКОЙ НЕФТЕГАЗОНОСНОЙ ПРОВИНЦИИ // Издательство, год?
Конторович А.Э.;Нефть и газ в современном мире. Лекция 1;;;;;лекции;;;;экономика, нефтегазоносность;Конторович А.Э. Нефть и газ в современном мире. Лекция 1
Конторович А.Э.;Недропользование в Российской Федерации на современном этапе. Лекции 2-3.;;;;;лекции;;;;экономика, нефтегазоносность;Конторович А.Э. Недропользование в Российской Федерации на современном этапе. Лекции 2-3.
Конторович А.Э.;Образование нефти и газа в земной коре.Биогенный и абиогенный синтез нефти и газа. Лекция 4.;;;;;лекции;;;;нефтегазоносность;Конторович А.Э. Образование нефти и газа в земной коре.Биогенный и абиогенный синтез нефти и газа. Лекция 4.
;Седиментология осадочных бассейнов. Лекции.;2008;;;;лекции;;;;седиментология;Седиментология осадочных бассейнов. Лекции // 2008 Автор?
Дортман Н.Б.;Петрофизика:Справочник.В трех книгах.Книга первая. Горные породы и полезные ископаемые.;1992;;"М.: ""НЕДРА""";;справочник;;;;петрофизика;"Дортман Н.Б. Петрофизика:Справочник.В трех книгах.Книга первая. Горные породы и полезные ископаемые //  М.: ""НЕДРА"", 1992"
Молчанов А.А., Дортман Н.Б.;Петрофизика:Справочник.В трех книгах.Книга вторая. Техника и методика исследований.;1992;;"М.: ""НЕДРА""";;справочник;;;;петрофизика;"Молчанов А.А., Дортман Н.Б. Петрофизика:Справочник.В трех книгах.Книга вторая. Техника и методика исследований //  М.: ""НЕДРА"", 1992, с.391"
Дортман Н.Б.;Петрофизика:Справочник.В трех книгах.Книга третья. Земная кора и мантия.;1992;;"М.: ""НЕДРА""";;справочник;;;;петрофизика;"Дортман Н.Б. Петрофизика:Справочник.В трех книгах.Книга третья. Земная кора и мантия //  М.: ""НЕДРА"", 1992"
Латышова М.Г., Мартынов В.Г., Соколова Т.Ф.;Практическое руководство по интерпретации данных ГИС.;2007;;"М.: ООО ""Недра-Бизнесцентр""";;справочник;;;;интерпретация данных ГИС;"Латышова М.Г., Мартынов В.Г., Соколова Т.Ф. Практическое руководство по интерпретации данных ГИС: Учебное пособие для вузов //  М.: ООО ""Недра-Бизнесцентр"", 2007, с.327"
Неручев С.Г. и др.;Справочник по геохимии нефти и газа.;1998;;"СПб.: ОАО ""Издательство ""Недра""";;справочник;;;;геохимия;"Неручев С.Г. и др. Справочник по геохимии нефти и газа //  СПб.: ОАО ""Издательство ""Недра"", 1998, с.576"
Берзин А.И., Емельянцев Т.М., Гедройц Н.А.;Геологические исследования Нордвик-Хатангского района и Таймырского полуострова по работам 1933-1936 годов.Сборник статей.;1939;;Ленинград: Издательство Главсевморпуть, 1939;;сборник ;;;;;Берзин А.И., Емельянцев Т.М., Гедройц Н.А. Геологические исследования Нордвик-Хатангского района и Таймырского полуострова по работам 1933-1936 годов/ Сборник статей //  Ленинград: Издательство Главсевморпуть, 1939
Бодылевский В.И., Кипарисова Л.Д.;Стратиграфия мезозойских отложений советской Арктики.Труды ХУII сессии Международного геологического конгресса.;1940;;Москва;;труды;Арктика;;;;Бодылевский В.И., Кипарисова Л.Д. Стратиграфия мезозойских отложений советской Арктики / Труды ХУII сессии Международного геологического конгресса //  Москва, 1940
Криштофович А.Н.;Палеоботаника.;1957;;Ленинград:Государственное научно-техническое издательство нефтяной и горно-топливной литературы;;учебник;;;;палеоботаника;Криштофович А.Н. Палеоботаника /  4-е исправленное и дополненное издание  //   Ленинград:Государственное научно-техническое издательство нефтяной и горно-топливной литературы, 1957, с.650
Калинко М.К. ;История геологического развития и перспективы нефтегазоносности  Хатангской впадины;1959;;Ленинград:Государственное научно-техническое издательство нефтяной и топливной литературы, 1959;;монография;Восточная Сибирь, Хатангская впадина;;;геология,нефтегазоносность;Калинко М.К. История геологического развития и перспективы нефтегазоносности  Хатангской впадины /  Труды Ин-та геологии Арктики. Т. 104 //   Ленинград:Государственное научно-техническое издательство нефтяной и топливной литературы, 1959, с.360.
Итенберг С.С.;Промысловая геофизика;1961;;М.: Государственное научно-техническое издательство нефтяной и горно-топливной литературы ;;учебник;;;;;Итенберг С.С. Промысловая геофизика // М.: Государственное научно-техническое издательство нефтяной и горно-топливной литературы, 1961, с.388
;Геология Арктики;1961;;"М: Издательство ""Мир""";;доклады;Арктика;;;геология;"Геология Арктики. Доклады на I международном симпозиуме по геологии Арктики // М.: Издательство ""Мир"", 1961, с.515"
Лазько Е.М.;Основы региональной геологии СССР.Том 2. Азиатская часть.;1965;;"М.:""НЕДРА""";;учебник;Восточная Сибирь;;;геология;"Лазько Е.М. Основы региональной геологии СССР / Том 2. Азиатская часть //  М.: ""НЕДРА"",1965, с.550"
Сакс В.Н.;Стратиграфия и палеонтология мезозойских отложений севера Сибири.;1965;;"М.: Издательство ""Наука"", 1965";;книга;;;;стратиграфия, палеонтология;"Сакс В.Н. Стратиграфия и палеонтология мезозойских отложений севера Сибири //  М.: Издательство ""Наука"", 1965"
Сильвейн Дж. Пирсон;Справочник по интерпретации данных каротажа.;1966;;"М.: Издательство ""НЕДРА""";;справочник;;;;интерпретация каротажа;"Сильвейн Дж. Пирсон. Справочник по интерпретации данных каротажа //  М.: Издательство ""НЕДРА"", 1966, с.413"
Парфенов Л.М. ;Основные черты докембрийской структуры Восточного Саяна;1967;;"Москва: Издательство ""Наука""";;монография;Восточный Саян;докембрий;;тектоника, структурно-фомационный анализ, геология;"Парфенов Л.М. Основные черты докембрийской структуры Восточного Саяна // Москва: Издательство ""Наука"", 1967, с.144"
Высоцкий И.В.;Геология нефти, справочник, том 2, книга 2. Нефтяные месторождения зарубежных стран.;1968;;"М.: Издательство ""НЕДРА""";;справочник;;;;геология нефти;Высоцкий И.В. Геология нефти, справочник, том 2, книга 2. Нефтяные месторождения зарубежных стран //  М.: Недра, 1968, с.804
Кларк С.;Справочник физических констант горных пород.;1969;;"М.: Издательство ""МИР""";;справочник;;;;геология, геофизика, геохимия;"Кларк С. Справочник физических констант горных пород / Науки о Земле. Том 21 //  М.: Издательство ""МИР"", 1969, с.543"
Басов В.А., Захаров В.А., Иванова Е.Ф., Сакс В.Н., Шулыгина Н.И., Юдовный Е.Г.;Зональное расчленение верхнеюрских и нижнемеловых отложений на мысе Урдюк-Хая (п-ов Пахса, Анабарский залив).;1969;;;;статья;Восточная Сибирь;верхняя юра, нижний мел;;стратиграфия;Басов В.А., Захаров В.А., Иванова Е.Ф., Сакс В.Н., Шулыгина Н.И., Юдовный Е.Г. Зональное расчленение верхнеюрских и нижнемеловых отложений на мысе Урдюк-Хая (п-ов Пахса, Анабарский залив) / Книга.Учетные записи. Палеонтология и биостратиграфия.Вып.29 // 1969 Издательство?
отв.ред Фрадкин Г.С.;Лено-Вилюйская нефтегазоносная провинция;1969;;"Москва: Издательство ""Наука""";;монография;Лено-Вилюйская нефтегазоносная провинция;;;геология;"отв.ред Фрадкин Г.С. Лено-Вилюйская нефтегазоносная провинция  // Москва: Издательство ""Наука"", 1969, с.278"
Лазько Е.М.;Основы региональной геологии СССР.Том 3. История формирования структуры.;1971;;"М.:""НЕДРА""";;учебник;Восточная Сибирь;;;геология;Лазько Е.М. Основы региональной геологии СССР / Том 3.История формирования структуры //  М.:Недра,1971, с.341
Сороков Д.С.;Геология и нефтегазоносность Енисей-Хатангского прогиба. (Сборник статей);1971;;Ленинград: 1971;;сборник ;Енисей-Хатангский  прогиб;;;геология и нефтегазоносность;Сороков Д.С. Геология и нефтегазоносность Енисей-Хатангского прогиба /  (Сборник статей) // Ленинград: 1971, с.151
Гурари Ф.Г., Микуленко К.И., Старосельцев В.С., Боярских Г.К., Глухоедов Ю.М., Гребенюк В.В., Смирнов В.Г., Полканов В.П., Умперович Н.В., Шамшиков И.Ф., Шемин Г.Г. ;Тектоника мезозойско-кайнозойского осадочного чехла Западно-Сибирской плиты. Труды СНИИГГиМС. Вып.100. Серия: Региональная геология.;1971;;Новосибирск: 1971;;труды;Западная Сибирь;;;;Гурари Ф.Г., Микуленко К.И., Старосельцев В.С., Боярских Г.К., Глухоедов Ю.М., Гребенюк В.В., Смирнов В.Г., Полканов В.П., Умперович Н.В., Шамшиков И.Ф., Шемин Г.Г. Тектоника мезозойско-кайнозойского осадочного чехла Западно-Сибирской плиты.Труды СНИИГГиМС. Вып.100. Серия: Региональная геология. Новосибирск: 1971
Вассоевич Н.Б., Высоцкий И.В., Корчагина Ю.И., Соколов Б.А.;Историко-геологогеохимичесий метод оценки перспектив нефтегазоносности осадочных бассейнов (на примере Среднерусского нефтегазоносного бассейна).;1971;;М.;Известия Академии наук СССР.Серия геологическая.;статья;;;;перспективы нефтегазоносности;Вассоевич Н.Б., Высоцкий И.В., Корчагина Ю.И., Соколов Б.А. Историко-геологогеохимичесий метод оценки перспектив нефтегазоносности осадочных бассейнов(на примере Среднерусского нефтегазоносного бассейна) /   Известия Академии наук СССР.Серия геологическая // М.:1971, № 11, с.56-61
Ларсен Г., Чилингард Дж.В.;Диагенез и катагенез осадочных образований;1971;;"М.: Издательство ""МИР""";;книга;;;;катагенез;"Ларсен Г., Чилингард Дж.В. Диагенез и катагенез осадочных образований / Науки о Земле. Фундаментальные труды зарубежных ученых по геологии, геофизике и геохимии  // М.: Издательство ""МИР"", 1971, с.463"
Чухров Ф.В.;Минералы.Справочник. Том 3. Выпуск 1.Силикаты с одиночными и сдвоенными кремнекислородными тетраэдрами.;1972;;"М.:Издательство ""НАУКА""";;справочник;;;;минералогия;"Чухров Ф.В. Минералы / Справочник. Том 3. Выпуск 1.Силикаты с одиночными и сдвоенными кремнекислородными тетраэдрами   //  М.:Издательство ""НАУКА"",1972"
Хорн Р.;Морская химия.Химия и химия гидросферы.;1972;;"М.: Издательство ""МИР""";;монография;;;;химия морская;"Хорн Р. Морская химия.Химия и химия гидросферы // М.: Издательство ""МИР"", 1972, с.400"
Кудрявцев Н.А.;Генезис нефти и газа. (Труды Всесоюз. Нефт. Науч.-исслед.геол.-развед.ин-та, вып.319);1973;;Ленинград: Недра, 1973;;книга;;;;генезис нефти и газа;Кудрявцев Н.А. Генезис нефти и газа /  (Труды Всесоюз. Нефт. Науч.-исслед.геол.-развед.ин-та, вып.319) //  Ленинград: Недра, 1973
Кузин М.Ф., Егоров Н.И.;Полевой определитель минералов;1974;;"М.: ""НЕДРА""";;справочник;;;;петрофизика;"Кузин М.Ф., Егоров Н.И. Полевой определитель минералов //  М.: ""НЕДРА"", 1974, с.232"
Сороков Д.С., Гинзбург Г.Д.;Енисей-Хатангская нефтегазоносная область. Сборник статей.;1974;;Ленинград: 1974;;сборник ;;;;;Сороков Д.С., Гинзбург Г.Д. Енисей-Хатангская нефтегазоносная область /  Сборник статей //  Ленинград: 1974, с.89.
Косыгин Ю.А.;Основы тектоники;1974;;"Москва: Издательство ""Недра""";;монография;;;;тектоника;"Косыгин Ю.А. Основы тектоники // Москва: Издательство ""Недра"", 1974, с.216"
Жарков М.А.;Палеозойские соленосные формации мира;1974;;"Москва: Издательство ""Недра""";;монография;;;;соленосные формации;"Жарков М.А. Палеозойские соленосные формации мира // Москва: Издательство ""Недра"", 1974, с.392"
;Геология и полезные ископаемые Новосибирских островов и острова Врангеля;1975;;Ленинград: Научно-исследовательский институт геологии Арктики;;сбоник статей;Арктика. Новосибирские острова и остров Врангеля;;;геология;Геология и полезные ископаемые Новосибирских островов и острова Врангеля.Сборник статей // Ленинград: Научно-исследовательский институт геологии Арктики, 1975, с.77
Троицкий С.Л.;Современный антигляциализм. Критический очерк;1975;;"Москва: Издательство ""Наука""";;труды;;;;современный антигляциализм;Троицкий С.Л. Современный антигляциализм. Критический очерк / Труды института геологии и геофизики СО АН СССР, вып.269 /
Высоцкий И.В.;Справочник по нефтяным и газовым месторождениям зарубежных стран.Книга 1. Европа. Северная и Центральная Америка.;1976;;"М.: ""Недра"", 1976";;справочник;;;;месторождения зарубежных стран;"Высоцкий И.В. Справочник по нефтяным и газовым месторождениям зарубежных стран.Книга 1. Европа. Северная и Центральная Америка // М.: ""Недра"", 1976,с.600"
Конторович А.Э.;Геохимические методы количественного прогноза нефтегазоносности.;1976;;М.: Недра;;труды;методическая работа, без территориальной привязки;;;геохимия, нефтегазоносность;Конторович А.Э. Геохимические методы количественного прогноза нефтегазоносности / Сибирский научно-исследовательский институт геологии, геофизики и минерального сырья. Труды. Вып. 229.Серия нефтяной геологии //  М.: Недра, 1976, с.250.
Каплан М.Е.;Литология морских мезозойских отложений севера Восточной Сибири.;1976;;"Ленинград: ""Недра"" Ленинградское отделение";;монография;Восточная Сибирь, северная часть;мезозой;;литология;"Каплан М.Е. Литология морских мезозойских отложений севера Восточной Сибири // Труды ВННИГРИ, вып.357 // Ленинград: ""Недра"" Ленинградское отделение, 1976, с.231."
Архипов С.А., Исаева Л.Л.. Ивановский Л.Н., Суходровский В.Л., Гравис Г.Ф. и др.;Проблемы экзогенного рельефообразования. Книга 1. Рельеф ледниковый, криогенный, эоловый, карстовый и морских побережий;1976;;"Москва: Издательство ""Наука""";;монография;;;;экзогенное рельефообразование;"Архипов С.А., Исаева Л.Л.. Ивановский Л.Н., Суходровский В.Л., Гравис Г.Ф. и др.Проблемы экзогенного рельефообразования. Книга 1. Рельеф ледниковый, криогенный, эоловый, карстовый и морских побережий // Москва: Издательство ""Наука"", 1976, с.430"
Голодковская Г.А.;Инженерная геология СССР;1977;;М.: Издательство Московского университета, 1977;;книга;Восточная Сибирь;;;инженерная геология;Голодковская Г.А. Инженерная геология СССР /  В восьми томах. Том 3. Восточная Сибирь //  М.: Издательство Московского университета, 1977, с.657
Монин А.С. ;История Земли. Глава 11.История климата.;1977;;М.: Наука;;статья из книги;;;;;Монин А.С. История Земли. Глава 11.История климата //  М.: Наука, 1977
Берк К., Дрейк Ч.;Геология континентальных окраин.;1978;;"М.: Издательство ""Мир""";;книга;;;;геология;"Берк К., Дрейк Ч.Геология континентальных окраин / Том 1 //  М.: Издательство ""Мир"", 1978, с.355"
Берк К., Дрейк Ч.;Геология континентальных окраин.;1978;;"М.: Издательство ""Мир""";;книга;;;;геология;"Берк К., Дрейк Ч.Геология континентальных окраин / Том 2 // М.: Издательство ""Мир"", 1978, с.371"
Берк К., Дрейк Ч.;Геология континентальных окраин.;1978;;"М.: Издательство ""Мир""";;книга;;;;геология;"Берк К., Дрейк Ч.Геология континентальных окраин / Том 3 // М.: Издательство ""Мир"", 1978, с.401"
Фукс А.Б.;Термодинамические условия формирования залежей углеводородов Непско-Ботуобинской антеклизы.;1978;;Иркутск;;автореферат;Восточная Сибирь, Непско-Ботуобинская антеклиза;;;палеогеография;Фукс А.Б. Термодинамические условия формирования залежей углеводородов Непско-Ботуобинской антеклизы /  Автореферат диссертации на соискание ученой степени кандидата геолого-минералогических наук //  Иркутск, 1978, с.10.
Ивакин Б.Н., Карус Е.В., Кузнецов О.Л.;Акустический метод исследования скважин;1978;;"М.: ""НЕДРА""";;книга;;;;акустическое исследование скважин;"Ивакин Б.Н., Карус Е.В., Кузнецов О.Л. Акустический метод исследования скважин // М.: ""НЕДРА"", 1978, с.320"
Кузнецов В.Г.;Геология рифов и их нефтегазоносность ;1978;;"Москва: ""Недра""";;книга;;;;геология рифов;"Кузнецов В.Г. Геология рифов и их нефтегазоносность  //  Москва: ""Недра"", с.304 "
Максимов В.М.;Справочное руководство гидрогеолога.  В двух томах. Том 1.;1979;;"Л.: ""Недра"", Ленинградское отделение";;справочник;;;;гидрогеология;"Максимов В.М. Справочное руководство гидрогеолога /  В двух томах. Том 1 //  Л.: ""Недра"", Ленинградское отделение, 1979, с.512"
Максимов В.М.;Справочное руководство гидрогеолога. В двух томах. Том 2.;1979;;Л.: Недра, 1979;;книга;;;;гидрогеология;Максимов В.М. Справочное руководство гидрогеолога /  В двух томах //  Том 2. Л.: Недра, 1979, с.295
Венк Г.Р.;Электронная микроскопия в минералогии.;1979;;"М.: Издательство ""Мир""";;книга;;;;минералогия;"Венк Г.Р. Электронная микроскопия в минералогии //  М.: Издательство ""Мир"", 1979, с.541"
Белонин М.Д., Буялов Н.И., Захаров Е.В. И др.;Методы оценки перспектив нефтегазоносности;1979;;"Москва: ""Недра""";;монография;;;;перспективы  нефтегазоносности;"Белонин М.Д., Буялов Н.И., Захаров Е.В. И др. Методы оценки перспектив нефтегазоносности // Москва: ""Недра"", 1979, с.332"
Проничева М.В., Саввинова Г.Н.;Палеогеоморфологический анализ нефтегазоносных областей;1980;;"Москва: ""Недра""";;книга;;;;геоморфология, палеорельеф;"Проничева М.В., Саввинова Г.Н. Палеогеоморфологический анализ нефтегазоносных областей // Москва: ""Недра"", 1980, с.254"
 БОДУНОВ Е.И.,  ИЗОСИМОВА А.Н.,  ЗУЕВА И.Н.,  ЧАЛАЯ О.Н.,  УТКИНА Н.А.,  ТРУЩЕЛЕВА Г.С.,  ТЕЛЬЕ А.В.,   ЛЕБЕДЕВ В.С.,  ЛЕБЕДЕВ Вал.С.,  БАКИН В.Е.,  ТОКИН В.Е.,  ТОМСКАЯ  Е.С.;Геохимическая характеристика газов и нефтей Ботуобинского района Якутии;1981;;;Геология нефти и газа;статья;Восточная Сибирь;;;геохимия; БОДУНОВ Е.И.,  ИЗОСИМОВА А.Н.,  ЗУЕВА И.Н.,  ЧАЛАЯ О.Н.,  УТКИНА Н.А.,  ТРУЩЕЛЕВА Г.С.,  ТЕЛЬЕ А.В.,   ЛЕБЕДЕВ В.С.,  ЛЕБЕДЕВ Вал.С.,  БАКИН В.Е.,  ТОКИН В.Е.,  ТОМСКАЯ  Е.С. Геохимическая характеристика газов и нефтей Ботуобинского района Якутии //  Геология нефти и газа, 1981, № 8
 ГОЛЬДБЕРГ И.С.,  ЛЕБЕДЕВ Б.А.,  ФРОЛОВ Б.М. ;Раздельный прогноз размещения газа, нефти и битумов на Сибирской платформе;1981;;;Геология нефти и газа;статья;Восточная Сибирь;;;прогноз; ГОЛЬДБЕРГ И.С.,  ЛЕБЕДЕВ Б.А.,  ФРОЛОВ Б.М. Раздельный прогноз размещения газа, нефти и битумов на Сибирской платформе // Геология нефти и газа, 1981
Быков Н.Е., Фурсов А.Я., Максимов М.И. и др.;Справочник по нефтепромысловой геологии.;1981;;М.: Недра, 1981;;справочник;;;;нефтепромысловая геология;Быков Н.Е., Фурсов А.Я., Максимов М.И. и др.Справочник по нефтепромысловой геологии //  М.: Недра, 1981, с.525
Минеев Б.П., Сидоров Н.А.;Практическое руководство по испытанию скважин.;1981;;"М.: ""НЕДРА""";;справочник;;;;испытание скважин;"Минеев Б.П., Сидоров Н.А. Практическое руководство по испытанию скважин //  М.: ""НЕДРА"", 1981, с.280"
Хаин В.Е., Чепиков К.Р.;Древние платформы и их нефтегазоносность;1981;;"М.: Издательство ""НАУКА""";;книга;;;;нефтегазоносность;"Хаин В.Е., Чепиков К.Р. Древние платформы и их нефтегазоносность //  М.: Издательство ""НАУКА"",1981, с.116"
Чухров Ф.В.;Минералы.Справочник. Том 3. Выпуск 2.Силикаты с линейными трехчленными группами, кольцами и цепочками кремнекислородных тетраэдров. ;1981;;"М.:Издательство ""НАУКА""";;справочник;;;;минералогия;"Чухров Ф.В. Минералы / Справочник. Том 3. Выпуск 2.Силикаты с линейными трехчленными группами, кольцами и цепочками кремнекислородных тетраэдров //  М.:Издательство ""НАУКА"",1981 "
Чухров Ф.В.;Минералы.Справочник. Том 3. Выпуск 3.Силикаты с лентами кремнекислородных тетраэдров. ;1981;;"М.:Издательство ""НАУКА""";;справочник;;;;минералогия;"Чухров Ф.В. Минералы / Справочник. Том 3. Выпуск 3.Силикаты с лентами кремнекислородных тетраэдров //   М.:Издательство ""НАУКА"",1981 "
Тиссо Б., Вельте Д.;Образование и распространение нефти.;1981;;"М.: издательство ""Мир""";;книга;методическая работа, без территориальной привязки;;;генезис нефти и газа;"Тиссо Б., Вельте Д. Образование и распространение нефти // М.: издательство ""Мир"", 1981"
Кноринг Л.Д. ;Влияние темпов работ на количество скважин при поисках и разведке месторождений нефти и газа ;1981;;;Геология нефти и газа;статья;;;;экономика, нефтегазоносность;Кноринг Л.Д.  Влияние темпов работ на количество скважин при поисках и разведке месторождений нефти и газа //  Геология нефти и газа, 1981,№ 3.
Рейнек Г.Э., Сингх И.Б.;Обстановки терригенного осадконакопления ( с рассмотрением терригенных кластических осадков);1981;;М.: Недра, 1981;;монография;;;;геология;Рейнек Г.Э. Сингх И.Б. Обстановки терригенного осадконакопления ( с рассмотрением терригенных кластических осадков) //  М.: Недра, 1981, с. 439 
Харбух Дж.У., Давтон Дж.Х., Дэвис Дж.К.;Применение вероятностных методов в поисково-разведочных работах на нефть;1981;;"Москва: ""Недра""";;монография;США;;;вероятностные методы;"Харбух Дж.У., Давтон Дж.Х., Дэвис Дж.К.Применение вероятностных методов в поисково-разведочных работах на нефть // Москва: ""Недра"", 1981, с.246"
;Стратиграфия и палеонтология девона и карбона;1981;;"Москва: Издательство ""Наука""";;сборник;;;;геология, биостратиграфия, палеонтология;"Стратиграфия и палеонтология девона и карбона / Труды института геологии и геофизики СО АН СССР, вып.483 // Москва: Издательство ""Наука"", 1981, с.190"
Трофимук А.А.;Геология и нефтегазоносность Енисей-Хатангского бассейна. Труды, вып.514.;1982;;М.:Наука, 1982;;книга;Восточная Сибирь;;;геология, нефтегазоносность;Трофимук А.А. Геология и нефтегазоносность Енисей-Хатангского бассейна //  Труды, вып.514. М.:Наука, 1982
Хант Дж.;Геохимия и геология нефти и газа.;1982;;"М.: издательство ""Мир""";;книга;методическая работа, без территориальной привязки;;;геология, геохимия;"Хант Дж. Геохимия и геология нефти и газа //  М.: издательство ""Мир"", 1982, с.698"
;Карта дочетвертичных образований. Масштаб 1:1 000 000. N-(44), 45 (Новосибирск).;1982;;;;карты;Западная Сибирь;;;;Карта дочетвертичных образований. Масштаб 1:1 000 000. N-(44), 45 (Новосибирск) //  1982 г. Автор, Издательство?
