Автор;Название;Год;страницы;Издательство;;Тип;Регион;Ключевые;;направление;Полное название
Прозоровский В.А.;Стратиграфические и фациальные методы изучения фанерозоя;2000;;СПб.:Санкт-Петербургский государственный университет;;учебное пособие;;;;стратиграфия;Прозоровский В.А. Стратиграфические и фациальные методы изучения фанерозоя / Учебные записки кафедры исторической геологии. Под ред. В.А. Прозоровского. Спб: СпбГУ, 2000. 84 с.
Селли Р.Ч.;Древние обстановки осадконакопления;1989;;М.: Недра;;монография;;;;геология, литология, стратиграфия;Селли Р.Ч. Древние обстановки осадконакопления // М.: Недра, 1989, с.294 
Скибицкая Н.А., Яковлева О.П., Кузьмин В.А.;Наноразмерные надмолекулярные стурктуры биогенного карбонатного породобразующего вещества органогенных месторождений углеводородов;2013;;;;статья;ВС;;;литология, геохимия, нефтегазоносность;Скибицкая Н.А., Яковлева О.П., Кузьмин В.А. Наноразмерные надмолекулярные стурктуры биогенного карбонатного породобразующего вещества органогенных месторождений углеводородов // Издание, год, стр?
Советов Ю.К. Чигвинцева Л.А.;Стертовское оледенение среднего неопротерозоя на юго-востоке Сибирской платформы;2009;;;;тезисы;Восточная Сибирь;;;литология;Советов Ю.К. Чигвинцева Л.А. Стертовское оледенение среднего неопротерозоя на юго-востоке Сибирской платформы. Якутск: кн. изд-во, 2009. С. 102-104
Сорохтин О.Г., Ушаков С.А.;Развитие Земли;2002;;М.: МГУ?;;учебное пособие;;;;геология;Сорохтин О.Г., Ушаков С.А. Развитие Земли // Автор, издательство, год?
Сорохтин О.Г., Ушаков С.А.;Дрейф континентов в геологической истории Земли. Глава 8;;;;;;;;;;Сорохтин? Дрейф континентов в геологической истории Земли. Глава 8 // Автор, издательство, год? с.231-248
Станевич А.М., Гладкочуб Д.П., Мазукабзов А.М., Корнилова Т.А., Максимова Е.Н.;Поздний протерозой Анабаро-Оленекского региона: биоценозы и тектоно-экологическая модель седиментогенеза;;;ИЗК СО РАН, ИГПУ;;тезисы;ВС;;;стратиграфия;Станевич А.М., Гладкочуб Д.П., Мазукабзов А.М., Корнилова Т.А., Максимова Е.Н. Поздний протерозой Анабаро-Оленекского региона: биоценозы и тектоно-экологическая модель седиментогенеза // Современная микропалеонтология: палеобиология и геологические аспекты. С. 158-162
Столбова Н.Ф., Бетхер О.В., Киселев Ю.В., Кринин В.А.;Литогенез венд-кембрийских отложений юго-западного склона Байкитской антеклизы (по результатам изучения разреза Иринчиминской параметрической скв. 155 в Восточной Сибири);2007;;Известия ТПУ;;статья;ВС;;;литология;Столбова Н.Ф., Бетхер О.В., Киселев Ю.В., Кринин В.А. Литогенез венд-кембрийских отложений юго-западного склона Байкитской антеклизы (по результатам изучения разреза Иринчиминской параметрической скв. 155 в Восточной Сибири) // Томск: Известия ТПУ,Т. 311, № 1, 2007. с. 53-58.
Тесаков Ю.И.;Новые свиты силура юго-запада Сибирской платформы;2009;;;Геология и геофизика. Приложение к журналу.;статья;Восточная Сибирь;силур;;стратиграфия;"Тесаков Ю.И. Новые свиты силура юго-запада Сибирской платформы //  Приложение к журналу ""Геология и геофизика"", т.50. Новости палеонтологии и стратиграфии, 2009, вып. 12, с. 29-41"
Трубкин И.П.,  Филиппов Ю. Г., Шипилова Л. М.;Моделирование транспорта наносов в Береговой зоне северной части Азовского моря;2005;;М.: Научтехлитиздат;Экологические системы и приборы;статья;Азовское море;;;экология, воды природные морские;   Трубкин И.П.,  Филиппов Ю. Г., Шипилова Л. М.  Моделирование транспорта наносов в береговой зоне северной части Азовского моря // Экологические системы и приборы : Науч.-техн. и произв. журн. - 2005. - №12. - С. 32-
Федорцов И.В. Ефимова В.А. Гультяев С.В.;Влияние засолоненности и битумизации на лабораторное определение ФЭС пород-коллекторов продуктивных горизонтов Восточной Сибири;2009;;;;тезисы;Восточная Сибирь;;;геохимия;Федорцов И.В. Ефимова В.А. Гультяев С.В. Влияние засолоненности и битумизации на лабораторное определение ФЭС пород-коллекторов продуктивных горизонтов Восточной Сибири / Геомодель-2009 11-ая науч.-практическая конференция // Геленджик, 2009. 
